20000	4.61792e-08	3.20824e-10	50
40000	4.87877e-08	2.63034e-10	50
60000	4.97413e-08	4.67582e-10	50
80000	5.0772e-08	3.66331e-10	50
100000	5.31444e-08	3.52916e-10	50
120000	5.19063e-08	2.49299e-10	50
140000	5.23864e-08	3.28102e-10	50
160000	5.34837e-08	4.17591e-10	50
180000	5.48338e-08	6.30885e-10	50
200000	5.40982e-08	3.06448e-10	50
20000	2.81388e-08	3.54893e-10	50
40000	3.13918e-08	3.0821e-10	50
60000	3.2904e-08	3.43343e-10	50
80000	3.49922e-08	3.75779e-10	50
100000	3.51914e-08	4.88922e-10	50
120000	3.61685e-08	3.03863e-10	50
140000	3.60556e-08	3.78093e-10	50
160000	3.6967e-08	3.72851e-10	50
180000	3.78309e-08	4.23678e-10	50
200000	3.84704e-08	4.21115e-10	50
